word,esdb_level,decision,existing_rarity,existing_definition,reason
abvolts,70,deferred,,,Not individually approved; not added to puzzles.
abwatt,70,deferred,,,Not individually approved; not added to puzzles.
abwatts,70,deferred,,,Not individually approved; not added to puzzles.
aby,70,deferred,4,To endure or tolerate (something); to experience.,Not individually approved; not added to puzzles.
abye,80,deferred,4,Alternative form of aby.,Not individually approved; not added to puzzles.
abyes,80,deferred,,,Not individually approved; not added to puzzles.
abying,80,deferred,,,Not individually approved; not added to puzzles.
abys,80,deferred,,,Not individually approved; not added to puzzles.
abysm,70,deferred,4,"An abyss; a gulf, a chasm, a very deep hole.",Not individually approved; not added to puzzles.
abysms,70,deferred,,,Not individually approved; not added to puzzles.
acajou,80,deferred,4,The cashew tree.,Not individually approved; not added to puzzles.
acajous,80,deferred,,,Not individually approved; not added to puzzles.
acaleph,70,deferred,4,"A member of the former Acalephae group, now a part of the Cnidaria phylum.",Not individually approved; not added to puzzles.
acantha,80,deferred,4,A prickle.,Not individually approved; not added to puzzles.
acapnia,80,deferred,4,The state in which the level of carbon dioxide in the blood and tissue is significantly lower than normal.,Not individually approved; not added to puzzles.
acari,70,deferred,,,Not individually approved; not added to puzzles.
acarid,70,deferred,,,Not individually approved; not added to puzzles.
acarids,70,deferred,,,Not individually approved; not added to puzzles.
acaroid,70,deferred,4,Shaped like or resembling a mite.,Not individually approved; not added to puzzles.
acarus,70,deferred,4,"Any member of the subclass Acari (aka Acarina): thus, a mite or a tick; specifically, any mite of the genus Acarus.",Not individually approved; not added to puzzles.
acaudal,70,deferred,,,Not individually approved; not added to puzzles.
acausal,80,deferred,,,Not individually approved; not added to puzzles.
acceder,80,deferred,4,One who accedes.,Not individually approved; not added to puzzles.
accidia,80,deferred,,,Not individually approved; not added to puzzles.
accidie,70,deferred,4,"Sloth, slothfulness, especially as inducing general listlessness and apathy.",Not individually approved; not added to puzzles.
accra,80,deferred,,,Not individually approved; not added to puzzles.
accras,80,deferred,,,Not individually approved; not added to puzzles.
accrete,70,deferred,4,"To grow together, combine; to fuse.",Not individually approved; not added to puzzles.
accusal,70,deferred,4,An accusation,Not individually approved; not added to puzzles.
acedia,70,deferred,,,Not individually approved; not added to puzzles.
acedias,70,deferred,,,Not individually approved; not added to puzzles.
acequia,80,deferred,,,Not individually approved; not added to puzzles.
acer,70,deferred,3,A plant of the genus Acer; a maple.,Not individually approved; not added to puzzles.
acerate,70,deferred,4,A combination of aceric acid with a salifiable base.,Not individually approved; not added to puzzles.
acerb,70,deferred,4,"Sour, bitter, and harsh to the taste, such as unripe fruit.",Not individually approved; not added to puzzles.
acerber,80,deferred,,,Not individually approved; not added to puzzles.
acerola,80,deferred,,,Not individually approved; not added to puzzles.
acerose,70,deferred,4,Having the nature of chaff; chaffy.,Not individually approved; not added to puzzles.
acers,70,deferred,,,Not individually approved; not added to puzzles.
aceta,80,deferred,,,Not individually approved; not added to puzzles.
acetal,70,deferred,4,"Any diether of a geminal diol, R₂C(OR')₂ (where R' is not H).",Not individually approved; not added to puzzles.
acetals,70,deferred,,,Not individually approved; not added to puzzles.
acetify,70,deferred,4,To convert into acid or vinegar.,Not individually approved; not added to puzzles.
acetin,80,deferred,4,the triglyceride of acetic acid,Not individually approved; not added to puzzles.
acetins,80,deferred,,,Not individually approved; not added to puzzles.
acetose,80,deferred,4,Sour like vinegar; acetous.,Not individually approved; not added to puzzles.
acetous,70,deferred,4,Having a sour taste; sour; acid.,Not individually approved; not added to puzzles.
acetum,70,deferred,4,"Vinegar, sometimes medicated.",Not individually approved; not added to puzzles.
acetums,70,deferred,,,Not individually approved; not added to puzzles.
acetyls,70,deferred,,,Not individually approved; not added to puzzles.
ach,70,deferred,4,An expression of annoyance.,Not individually approved; not added to puzzles.
achcha,70,deferred,,,Not individually approved; not added to puzzles.
achiote,80,deferred,4,"A tropical American evergreen shrub, Bixa orellana; the lipstick tree.",Not individually approved; not added to puzzles.
achira,80,deferred,,,Not individually approved; not added to puzzles.
achiral,80,deferred,,,Not individually approved; not added to puzzles.
achiras,80,deferred,,,Not individually approved; not added to puzzles.
achkan,70,deferred,,,Not individually approved; not added to puzzles.
acholia,80,deferred,4,Deficiency or absence of bile.,Not individually approved; not added to puzzles.
acicula,70,deferred,4,"One of the needlelike or bristlelike spines or prickles of some animals and plants; also, a needlelike crystal.",Not individually approved; not added to puzzles.
acider,80,deferred,,,Not individually approved; not added to puzzles.
acidest,80,deferred,,,Not individually approved; not added to puzzles.
acidy,80,deferred,,,Not individually approved; not added to puzzles.
aciform,80,deferred,4,Shaped like a needle.,Not individually approved; not added to puzzles.
acinar,80,deferred,,,Not individually approved; not added to puzzles.
acini,70,deferred,,,Not individually approved; not added to puzzles.
acinic,80,deferred,,,Not individually approved; not added to puzzles.
acinose,80,deferred,4,"Consisting of acini, or minute granular concretions.",Not individually approved; not added to puzzles.
acinous,80,deferred,4,"Alternative spelling of acinose. Meaning: Consisting of acini, or minute granular concretions.",Not individually approved; not added to puzzles.
acinus,70,deferred,4,"One of the small grains or drupelets which make up some kinds of fruit, as the blackberry, raspberry, etc.",Not individually approved; not added to puzzles.
ackee,70,deferred,4,"A tropical evergreen tree, Blighia sapida, related to the lychee and longan.",Not individually approved; not added to puzzles.
ackees,70,deferred,,,Not individually approved; not added to puzzles.
acmatic,80,deferred,,,Not individually approved; not added to puzzles.
acmic,80,deferred,,,Not individually approved; not added to puzzles.
acned,70,deferred,,,Not individually approved; not added to puzzles.
acnes,80,deferred,,,Not individually approved; not added to puzzles.
acnode,70,deferred,4,"An isolated point not upon a curve, but whose coordinates satisfy the equation of the curve so that it is considered as belonging to the curve.",Not individually approved; not added to puzzles.
acnodes,70,deferred,,,Not individually approved; not added to puzzles.
acock,80,deferred,4,In a cocked or turned-up fashion.,Not individually approved; not added to puzzles.
acold,80,deferred,4,Feeling cold.,Not individually approved; not added to puzzles.
acorned,80,deferred,4,Furnished or loaded with acorns,Not individually approved; not added to puzzles.
acouchi,80,deferred,,,Not individually approved; not added to puzzles.
acouchy,80,deferred,4,Alternative form of acouchi.,Not individually approved; not added to puzzles.
acred,70,deferred,4,Owning or possessing many acres of land.,Not individually approved; not added to puzzles.
acrogen,70,deferred,4,"any flowerless plant whose growth takes place at the tip of the main stem, especially the cryptogam ferns",Not individually approved; not added to puzzles.
acromia,70,deferred,,,Not individually approved; not added to puzzles.
acron,80,deferred,,,Not individually approved; not added to puzzles.
acronal,80,deferred,,,Not individually approved; not added to puzzles.
acrons,80,deferred,,,Not individually approved; not added to puzzles.
acroter,70,deferred,,,Not individually approved; not added to puzzles.
actable,70,deferred,,,Not individually approved; not added to puzzles.
actin,70,deferred,,,Not individually approved; not added to puzzles.
actinal,70,deferred,,,Not individually approved; not added to puzzles.
actings,80,deferred,,,Not individually approved; not added to puzzles.
actinia,70,deferred,,,Not individually approved; not added to puzzles.
actinic,70,deferred,4,"Related to radiation; used most often in reference to light, especially in the ultraviolet range.",Not individually approved; not added to puzzles.
actinon,70,deferred,,,Not individually approved; not added to puzzles.
actins,70,deferred,,,Not individually approved; not added to puzzles.
activin,80,deferred,,,Not individually approved; not added to puzzles.
acuate,70,deferred,4,Sharpened; sharp-pointed.,Not individually approved; not added to puzzles.
aculei,70,deferred,,,Not individually approved; not added to puzzles.
aculeus,70,deferred,4,"A sharp spike or other projection growing on a plant, as in some brambles and roses.",Not individually approved; not added to puzzles.
acumens,80,deferred,,,Not individually approved; not added to puzzles.
acyclic,70,deferred,,,Not individually approved; not added to puzzles.
acylate,80,deferred,,,Not individually approved; not added to puzzles.
acyloin,80,deferred,,,Not individually approved; not added to puzzles.
acyls,70,deferred,,,Not individually approved; not added to puzzles.
adagial,80,deferred,4,Pertaining to an adage; proverbial.,Not individually approved; not added to puzzles.
adaxial,70,deferred,4,"On the side that is towards the axis or central line, usually on the upper side.",Not individually approved; not added to puzzles.
addax,70,deferred,4,"A large African antelope (Addax nasomaculatus) with long, corkscrewing horns which lives in the desert.",Not individually approved; not added to puzzles.
addaxes,70,deferred,,,Not individually approved; not added to puzzles.
addedly,80,deferred,,,Not individually approved; not added to puzzles.
adducer,70,deferred,4,One who adduces.,Not individually approved; not added to puzzles.
adduct,70,deferred,4,To draw towards a center or a middle line.,Not individually approved; not added to puzzles.
adducts,70,deferred,,,Not individually approved; not added to puzzles.
adenoma,70,deferred,,,Not individually approved; not added to puzzles.
adepter,80,deferred,,,Not individually approved; not added to puzzles.
adermin,70,deferred,,,Not individually approved; not added to puzzles.
adherer,80,deferred,,,Not individually approved; not added to puzzles.
adhibit,70,deferred,,,Not individually approved; not added to puzzles.
adipsin,80,deferred,,,Not individually approved; not added to puzzles.
adit,70,deferred,,,Not individually approved; not added to puzzles.
adits,70,deferred,,,Not individually approved; not added to puzzles.
adjoint,70,deferred,,,Not individually approved; not added to puzzles.
adjurer,80,deferred,,,Not individually approved; not added to puzzles.
adjuror,80,deferred,,,Not individually approved; not added to puzzles.
admass,70,deferred,,,Not individually approved; not added to puzzles.
admixt,80,deferred,,,Not individually approved; not added to puzzles.
adnate,70,deferred,4,"Linked or fused to a structure of a type different from itself; for example, attachment of a stamen to a petal is adnate, while attachment of a stamen to another stamen is connate.",Not individually approved; not added to puzzles.
adnexa,80,deferred,,,Not individually approved; not added to puzzles.
adnexal,80,deferred,,,Not individually approved; not added to puzzles.
adnoun,80,deferred,,,Not individually approved; not added to puzzles.
adnouns,80,deferred,,,Not individually approved; not added to puzzles.
adobos,80,deferred,,,Not individually approved; not added to puzzles.
adonis,70,deferred,,,Not individually approved; not added to puzzles.
adoral,80,deferred,,,Not individually approved; not added to puzzles.
adorner,70,deferred,,,Not individually approved; not added to puzzles.
ados,80,deferred,4,"plural of ado. Meaning: trouble; troublesome business; fuss, commotion",Not individually approved; not added to puzzles.
adown,70,deferred,4,"Down, downward; to or in a lower place.",Not individually approved; not added to puzzles.
aduki,70,deferred,,,Not individually approved; not added to puzzles.
adultly,80,deferred,,,Not individually approved; not added to puzzles.
adust,70,deferred,,,Not individually approved; not added to puzzles.
advect,80,deferred,,,Not individually approved; not added to puzzles.
advects,80,deferred,,,Not individually approved; not added to puzzles.
advices,70,deferred,,,Not individually approved; not added to puzzles.
advisee,70,deferred,,,Not individually approved; not added to puzzles.
adwoman,80,deferred,,,Not individually approved; not added to puzzles.
adwomen,80,deferred,,,Not individually approved; not added to puzzles.
adyta,70,deferred,,,Not individually approved; not added to puzzles.
adytum,70,deferred,,,Not individually approved; not added to puzzles.
adzed,80,deferred,,,Not individually approved; not added to puzzles.
adzing,80,deferred,,,Not individually approved; not added to puzzles.
adzuki,70,deferred,,,Not individually approved; not added to puzzles.
adzukis,70,deferred,,,Not individually approved; not added to puzzles.
aechmea,80,deferred,,,Not individually approved; not added to puzzles.
aecia,70,deferred,,,Not individually approved; not added to puzzles.
aecial,80,deferred,,,Not individually approved; not added to puzzles.
aecidia,80,deferred,,,Not individually approved; not added to puzzles.
aecium,70,deferred,,,Not individually approved; not added to puzzles.
aedes,70,deferred,,,Not individually approved; not added to puzzles.
aedile,70,deferred,,,Not individually approved; not added to puzzles.
aediles,70,deferred,,,Not individually approved; not added to puzzles.
aedine,80,deferred,,,Not individually approved; not added to puzzles.
aegises,80,deferred,,,Not individually approved; not added to puzzles.
aeneous,70,deferred,,,Not individually approved; not added to puzzles.
aeneus,80,deferred,,,Not individually approved; not added to puzzles.
aeolian,70,deferred,,,Not individually approved; not added to puzzles.
aeonic,80,deferred,,,Not individually approved; not added to puzzles.
aerier,80,deferred,,,Not individually approved; not added to puzzles.
aeriest,80,deferred,,,Not individually approved; not added to puzzles.
aerify,70,deferred,,,Not individually approved; not added to puzzles.
aerily,80,deferred,,,Not individually approved; not added to puzzles.
aero,70,deferred,3,Of or pertaining to aviation.,Not individually approved; not added to puzzles.
aerobat,80,deferred,,,Not individually approved; not added to puzzles.
aerobe,70,deferred,,,Not individually approved; not added to puzzles.
aerobes,70,deferred,,,Not individually approved; not added to puzzles.
aerobia,80,deferred,,,Not individually approved; not added to puzzles.
aerosat,80,deferred,,,Not individually approved; not added to puzzles.
aether,70,deferred,4,Alternative spelling of ether.,Not individually approved; not added to puzzles.
aethers,70,deferred,,,Not individually approved; not added to puzzles.
afara,70,deferred,,,Not individually approved; not added to puzzles.
afars,80,deferred,,,Not individually approved; not added to puzzles.
afeard,70,deferred,,,Not individually approved; not added to puzzles.
afeared,80,deferred,4,simple past and past participle of afear,Not individually approved; not added to puzzles.
affaire,70,deferred,,,Not individually approved; not added to puzzles.
affiant,70,deferred,4,An individual witness whose statement is contained in an affidavit; (generally) an individual who makes a sworn deposition; a deponent.,Not individually approved; not added to puzzles.
affiche,70,deferred,,,Not individually approved; not added to puzzles.
affinal,70,deferred,4,"Of a family relationship by marriage of a relative (or through affinity), as opposed to consanguinity; in-law.",Not individually approved; not added to puzzles.
affined,70,deferred,,,Not individually approved; not added to puzzles.
affines,70,deferred,4,plural of affine. Meaning: A relative by marriage.,Not individually approved; not added to puzzles.
affixal,80,deferred,,,Not individually approved; not added to puzzles.
affixer,80,deferred,,,Not individually approved; not added to puzzles.
afflux,70,deferred,,,Not individually approved; not added to puzzles.
afghani,70,deferred,4,"The monetary currency of Afghanistan, divided into 100 pul.",Not individually approved; not added to puzzles.
afore,70,deferred,4,Before; in advance of the time of.,Not individually approved; not added to puzzles.
afreet,70,deferred,,,Not individually approved; not added to puzzles.
afreets,70,deferred,,,Not individually approved; not added to puzzles.
afrit,70,deferred,,,Not individually approved; not added to puzzles.
afrits,70,deferred,,,Not individually approved; not added to puzzles.
aftmost,70,deferred,,,Not individually approved; not added to puzzles.
aga,70,deferred,,,Not individually approved; not added to puzzles.
agama,70,deferred,4,"Any of the various small, long-tailed lizards of the subfamily Agaminae of family Agamidae, especially in genera Acanthocercus, Agama, Dendragama, Laudakia, Phrynocephalus, Trapelus and Xenagama.",Not individually approved; not added to puzzles.
agamas,70,deferred,,,Not individually approved; not added to puzzles.
agamete,70,deferred,,,Not individually approved; not added to puzzles.
agamic,70,deferred,,,Not individually approved; not added to puzzles.
agamid,80,deferred,,,Not individually approved; not added to puzzles.
agamids,80,deferred,,,Not individually approved; not added to puzzles.
agamies,80,deferred,,,Not individually approved; not added to puzzles.
agamous,80,deferred,,,Not individually approved; not added to puzzles.
agamy,80,deferred,,,Not individually approved; not added to puzzles.
agapae,80,deferred,,,Not individually approved; not added to puzzles.
agaric,70,approved,4,"Any of various fungi, principally of the order Agaricales, having fruiting bodies consisting of umbrella-like caps, on stalks, with numerous gills beneath.",Established fungal term with a visual definition; retains tier 4.
agarics,70,deferred,,,Not individually approved; not added to puzzles.
agarose,80,deferred,4,A polymeric cross-linked polysaccharide extracted from the seaweed agar; used to make gels that are used in electrophoresis.,Not individually approved; not added to puzzles.
agars,80,deferred,,,Not individually approved; not added to puzzles.
agas,70,deferred,,,Not individually approved; not added to puzzles.
agaves,80,deferred,,,Not individually approved; not added to puzzles.
agaze,80,deferred,,,Not individually approved; not added to puzzles.
agbada,70,deferred,,,Not individually approved; not added to puzzles.
agedly,80,deferred,,,Not individually approved; not added to puzzles.
agee,70,deferred,,,Not individually approved; not added to puzzles.
ageisms,80,deferred,,,Not individually approved; not added to puzzles.
agelong,80,deferred,4,Lasting throughout all time; eternal.,Not individually approved; not added to puzzles.
agemate,80,deferred,,,Not individually approved; not added to puzzles.
agendum,80,deferred,4,A task which ought to be done.,Not individually approved; not added to puzzles.
agented,80,deferred,,,Not individually approved; not added to puzzles.
agentry,80,deferred,,,Not individually approved; not added to puzzles.
ager,80,deferred,4,One who or that which ages something.,Not individually approved; not added to puzzles.
agers,80,deferred,,,Not individually approved; not added to puzzles.
aggada,80,deferred,,,Not individually approved; not added to puzzles.
aggadah,80,deferred,,,Not individually approved; not added to puzzles.
aggadic,80,deferred,,,Not individually approved; not added to puzzles.
aggadot,80,deferred,,,Not individually approved; not added to puzzles.
agger,70,deferred,4,"A double tide, particularly a high tide in which the water rises to a given level, recedes, and then rises again (or only the second of these high waters), but sometimes equally a low tide in which the water recedes to a given level, rises, and then recedes again",Not individually approved; not added to puzzles.
aggers,70,deferred,,,Not individually approved; not added to puzzles.
aggie,70,deferred,3,"Marble or a marble made of agate, or one that looks as if it were made of agate.",Not individually approved; not added to puzzles.
aggies,70,deferred,,,Not individually approved; not added to puzzles.
aggrade,70,deferred,4,to raise the level of a river bed by the deposition of sediment,Not individually approved; not added to puzzles.
aggress,70,deferred,4,Aggression.,Not individually approved; not added to puzzles.
aggros,70,deferred,,,Not individually approved; not added to puzzles.
agha,70,deferred,,,Not individually approved; not added to puzzles.
aghas,70,deferred,,,Not individually approved; not added to puzzles.
agin,80,deferred,,,Not individually approved; not added to puzzles.
agio,70,deferred,4,The premium or percentage on a better sort of money when it is given in exchange for an inferior sort. The premium or discount on foreign bills of exchange is sometimes called agio.,Not individually approved; not added to puzzles.
agios,70,deferred,,,Not individually approved; not added to puzzles.
agist,70,deferred,4,"To take to graze or pasture, at a certain sum; used originally of the feeding of cattle in the king's forests, and collecting the money for the same.",Not individually approved; not added to puzzles.
agisted,70,deferred,,,Not individually approved; not added to puzzles.
agists,70,deferred,,,Not individually approved; not added to puzzles.
agita,70,deferred,4,dyspepsia,Not individually approved; not added to puzzles.
agitas,70,deferred,,,Not individually approved; not added to puzzles.
agitato,70,deferred,4,A tempo mark directing that a passage is to be played in a restless agitated style.,Not individually approved; not added to puzzles.
aglare,80,deferred,,,Not individually approved; not added to puzzles.
aglet,70,deferred,4,Alternative spelling of aiglet.,Not individually approved; not added to puzzles.
aglets,70,deferred,,,Not individually approved; not added to puzzles.
agley,70,deferred,,,Not individually approved; not added to puzzles.
agloo,80,deferred,,,Not individually approved; not added to puzzles.
agloos,80,deferred,,,Not individually approved; not added to puzzles.
aglu,80,deferred,,,Not individually approved; not added to puzzles.
aglus,80,deferred,,,Not individually approved; not added to puzzles.
agly,80,deferred,,,Not individually approved; not added to puzzles.
aglycon,80,deferred,,,Not individually approved; not added to puzzles.
agma,70,deferred,,,Not individually approved; not added to puzzles.
agmas,70,deferred,,,Not individually approved; not added to puzzles.
agnail,70,deferred,4,Torn skin near a toenail or fingernail.,Not individually approved; not added to puzzles.
agnails,70,deferred,,,Not individually approved; not added to puzzles.
agnate,70,deferred,4,A relative whose relation is traced only through male members of the family.,Not individually approved; not added to puzzles.
agnates,70,deferred,,,Not individually approved; not added to puzzles.
agnatic,70,deferred,,,Not individually approved; not added to puzzles.
agnize,80,deferred,,,Not individually approved; not added to puzzles.
agnized,80,deferred,,,Not individually approved; not added to puzzles.
agnizes,80,deferred,,,Not individually approved; not added to puzzles.
agnomen,70,deferred,4,"An additional cognomen given, as an honour, to a Roman citizen.",Not individually approved; not added to puzzles.
agnosia,70,deferred,4,The inability to recognise objects by use of the senses.,Not individually approved; not added to puzzles.
agon,70,deferred,,,Not individually approved; not added to puzzles.
agonal,80,deferred,,,Not individually approved; not added to puzzles.
agone,70,deferred,,,Not individually approved; not added to puzzles.
agones,80,deferred,,,Not individually approved; not added to puzzles.
agonic,70,deferred,,,Not individually approved; not added to puzzles.
agons,70,deferred,,,Not individually approved; not added to puzzles.
agora,70,deferred,3,A place for gathering.,Not individually approved; not added to puzzles.
agorae,70,deferred,,,Not individually approved; not added to puzzles.
agoras,70,deferred,,,Not individually approved; not added to puzzles.
agorot,80,deferred,,,Not individually approved; not added to puzzles.
agoroth,80,deferred,,,Not individually approved; not added to puzzles.
agouti,70,deferred,4,"A rodent of the genus Dasyprocta, similar in appearance to a guinea pig but having longer legs, mainly native to Central and South America.",Not individually approved; not added to puzzles.
agoutis,70,deferred,,,Not individually approved; not added to puzzles.
agouty,80,deferred,,,Not individually approved; not added to puzzles.
agrafe,80,deferred,,,Not individually approved; not added to puzzles.
agrafes,80,deferred,,,Not individually approved; not added to puzzles.
agraffe,70,deferred,,,Not individually approved; not added to puzzles.
agrapha,70,deferred,,,Not individually approved; not added to puzzles.
agria,80,deferred,,,Not individually approved; not added to puzzles.
agrias,80,deferred,,,Not individually approved; not added to puzzles.
ags,80,deferred,,,Not individually approved; not added to puzzles.
agues,80,deferred,,,Not individually approved; not added to puzzles.
aguish,70,deferred,,,Not individually approved; not added to puzzles.
ahed,80,deferred,,,Not individually approved; not added to puzzles.
ahh,80,deferred,,,Not individually approved; not added to puzzles.
ahhed,80,deferred,,,Not individually approved; not added to puzzles.
